meta-date;complaint-title;complaint-title href;readmore
19 Apr, 09:36;Evakuasi Sarang Tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202504191636361745055396364;Evakuasi Sarang Tawon Jl. Anggrek seberang terminal W.A. Garra. Selasa, 07 Januari 2025 Pukul : 21.23 WIB
19 Apr, 09:33;Evakuasi lebah;https://www.lapor.go.id/laporan/detil/evakuasi-lebah-202504191633341745055214406;Evakuasi lebah Jl. Belibis I No.12b Minggu, 05 Januari 2025 Pukul : 12.24 WIB
19 Apr, 09:27;Penanganan pohon nangka terkena kabel;https://www.lapor.go.id/laporan/detil/penanganan-pohon-nangka-terkena-kabel-202504191627381745054858421;Penanganan pohon nangka terkena kabel Jl. Manunggal IV Minggu, 22 Desember 2024 Pukul : 09.40 WIB
2 Apr, 12:38;Evakuasi mobil amblas;https://www.lapor.go.id/laporan/detil/evakuasi-mobil-amblas-202504021938281743597508444;Evakuasi mobil amblas Jl. Bukit Palangka VII Senin, 06 Januari 2025 Pukul : 19.19 WIB
2 Apr, 12:36;Evakuasi mobil amblas;https://www.lapor.go.id/laporan/detil/evakuasi-mobil-amblas-202504021936001743597360739;Evakuasi mobil amblas Jl. Mahir Mahar  Senin, 06 Januari 2025 Pukul : 00.54 WIB
2 Apr, 12:33;Evakuasi Sarang Tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202504021933471743597227630;Evakuasi Sarang Tawon Jl. Bukit Kaminting XV Selasa, 07 Januari 2025 Pukul : 17.55 WIB
2 Apr, 12:31;Evakuasi Sarang Tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202504021931521743597112635;Evakuasi Sarang Tawon Jl. Yos Sudarso. V, Jl. Pramuka Selasa, 07 Januari 2025 Pukul : 17.34 WIB
2 Apr, 12:25;Penanganan pohon tumbang;https://www.lapor.go.id/laporan/detil/penanganan-pohon-tumbang-202504021925311743596731114;Penanganan pohon tumbang Jl. Bromo No.10 Selasa, 07 Januari 2025 Pukul : 16.46 WIB
2 Apr, 12:23;Penanganan pohon tumbang;https://www.lapor.go.id/laporan/detil/penanganan-pohon-tumbang-202504021923211743596601497;Penanganan pohon tumbang  Jl. Ngabe Sukah No 7 Selasa, 07 Januari 2025 Pukul : 08.39 WIB
2 Apr, 12:20;Penanganan pohon tumbang;https://www.lapor.go.id/laporan/detil/penanganan-pohon-tumbang-202504021920291743596429694;Penanganan pohon tumbang Jl. Menteng I Selasa, 07 Januari 2025 Pukul : 07.04 WIB
2 Apr, 19:18;Penanganan pohon tumbang;https://www.lapor.go.id/laporan/detil/penanganan-pohon-tumbang-202504021918311743596311388;Penanganan pohon tumbang  Jl. Iskandar No.8 Selasa, 07 Januari 2025Pukul : 07.47 WIB
2 Apr, 19:14;Penanganan pohon tumbang;https://www.lapor.go.id/laporan/detil/penanganan-pohon-tumbang-202504021914401743596080580;Penanganan pohon tumbang Jl. Kayu Manis No.1 Senin, 06 Januari 2025 Pukul : 20.58 WIB
2 Apr, 19:11;Penanganan pohon tumbang menimpa gardu listrik;https://www.lapor.go.id/laporan/detil/penanganan-pohon-tumbang-menimpa-gardu-listrik-202504021911371743595897593;Penanganan pohon tumbang menimpa gardu listrik Jl. RTA Milono KM 6,5 (Sebelah Tampung Penyang) Senin, 06 Januari 2025 Pukul : 19.28 WIB
