meta-date,complaint-title,complaint-title href,readmore
"Jumat, 08:23",Evakuasi Tawon,https://www.lapor.go.id/laporan/detil/evakuasi-tawon-202505231523211747988601415,Pernohonan evakuasi tawon di atap rumah di salah satu rumah warga di Desa Senori Kecamatan Merakurak
"Jumat, 08:20",ular masuk dapur,https://www.lapor.go.id/laporan/detil/ular-masuk-dapur-202505231520261747988426654,Laporan dari salah satu warga di Kelurahan Mondokan Kecamatan Tuban ada ular cobra di dapur dan meminta bantuan untuk evakuasi
"Jumat, 08:18",ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202505231518141747988294001,Laporan dari salah satu warga di Kelurahan Ronggomulyo Kecamatan Tuban bahwa ada ular cobra jawa di bawah dipan kamar
"Jumat, 08:15",Kunci tertinggal di dalam mobil,https://www.lapor.go.id/laporan/detil/kunci-tertinggal-di-dalam-mobil-202505231515401747988140050,Laporan dari salah satu warga di Desa Tunah Kecamatan Semanding bahwa kunci mobil tertinggal dan terkunci di dalam mobil.
"Jumat, 08:12",Evakuasi Ular Sawo Kembang,https://www.lapor.go.id/laporan/detil/evakuasi-ular-sawo-kembang-202505231512301747987950150,"Laporan permohonan evakuasi Ular Sowo kembang dengan panjang 3 m ,Dari salah satu warga di Desa Rengel Kecamatan Rengel  yang berada di atap dapur rumah pelapor. Yang menyebabkan Keresahan bagi keluarga pelapor dan  warga sekitar."
"Jumat, 08:08",Evakuasi Sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202505231508171747987697652,Laporan permohonan evakuasi Sarang tawon avinis yang berada di Pohon Mangga depan rumah salah satu warga di Desa Wotsogo Kecamatan Jatirogo Berdiameter 70 cm. Sarang lebah yang menyebabkan Keresahan dan telah  menyerang Keluarga dan Warga sekitar.
"Jumat, 08:04",Sarang Tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202505231504161747987456830,Laporan permohonan evakuasi Sarang tawon avinis yang berada di Atap rumah salah satu warga di Desa Sidomukti Kecamatan Kenduruan Berdiameter 60 cm. Sarang lebah yang menyebabkan Keresahan bagi Keluarga dan Warga sekitar.
"Jumat, 08:01",ular di garasi motor,https://www.lapor.go.id/laporan/detil/ular-di-garasi-motor-202505231501061747987266770,Laporan Ular oleh salah satu warga di Kelurahan Ronggomulyo Kecamatan Tuban yang berada di garasi motor.
"Jumat, 07:57",Ular pyton,https://www.lapor.go.id/laporan/detil/ular-pyton-202505231457031747987023715,Laporan dari salah satu warga di Desa Tasikmadu Kecamatan Palang bahwa ada ular Phyton dengan panjang  3.5 m berjumlah 1 ekor yang berada  Dipekarangan samping  rumah.Selanjutnya yang bersangkutan meminta bantuan ke Satuan Pol PP dan Damkar untuk dilakukan evakuasi
"Jumat, 07:54",ular di kandang ayam,https://www.lapor.go.id/laporan/detil/ular-di-kandang-ayam-202505231454051747986845673,Laporan dari salah satu warga di Kelurahan Gedongombo Kecamatan Semanding ada ular dikandang ayam miliknya
"Jumat, 07:51",Ular meresahkan,https://www.lapor.go.id/laporan/detil/ular-meresahkan-202505231451161747986676702,Laporan dari salah satu warga di Kelurahan Ronggomulyo Kecamatan Tuban terdapat Ular bersarang di bawah pot bekas ketika pelapor akan membersihkan rumah Karena sudah lama rumah tersebut tidak di tempati
"Jumat, 07:45",Ular Meresahkan,https://www.lapor.go.id/laporan/detil/ular-meresahkan-202505231445521747986352476,Laporan dari salah satu warga di Desa Banyubang Kecamatan Grabagan bahwa ada ular welang yg berada di samping rumahnya
"Jumat, 07:42",Ular di kandang ayam,https://www.lapor.go.id/laporan/detil/ular-di-kandang-ayam-202505231442101747986130665,Laporan dri salah satu warga di Desa Nguruhan Kecamatan Soko bahwa ada ular d kandang ayam miliknya.
"Jumat, 07:39",Ular Cobra Meresahkan,https://www.lapor.go.id/laporan/detil/ular-cobra-meresahkan-202505231439371747985977424,"Laporan dari warga Kelurahan Latsari Kecamatan Tuban ada Ular Jenis Cobra Jawa berukuran  1.5 m  yang berada di Taman belakang  rumahnya . Ular  tersebut meresahkan aktifitas yang punya rumah dan wargaSekitar, Selanjutnya yang bersangkutan meminta bantuan ke satuan Pol PP dan Damkar untuk dilakukan evakuasi"
"Jumat, 07:30",Sarang Lebah,https://www.lapor.go.id/laporan/detil/sarang-lebah-202505231430181747985418482,"Laporan permohonan evakuasi Sarang lebah yang berada di Kandang Ayam rumah warga di Desa Laju Kidul Kecamatan Singgahan Berdiameter 50 cm, Sarang lebah yang menyebabkan Keresahan bagi Keluarga dan Warga sekitar."
"Jumat, 07:27",Ular di Atap Rumah,https://www.lapor.go.id/laporan/detil/ular-di-atap-rumah-202505231427461747985266465,Adanya ular cobra yg berada di atap rumah. Lanjut kita lakukan evakuasi ular tersebut di Desa Rengel Kecamatan Rengel
"30 Apr, 8:56",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202504301556461746003406427,Adanya sarang tawon avinis yg berada di atap rumah warga di Desa Sumberagung Kecamatan Plumpang
"30 Apr, 8:38",Evakuasi sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202504301538081746002288871,Laporan permohonan evakuasi Sarang Tawon Dari Salah satu warga di Kelurahan Perbon Kecamatan Tuban yang berada di atap rumah  dan berdiameter  50 CM.
"30 Apr, 8:35",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301535081746002108346,Laporan dari salah satu warga di Kelurahan Sukolilo Kecamatan Tuban ada Ular Piton berukuran  sekitar  3 m dan berjumlah 1 ekor di Samping rumah
"30 Apr, 8:32",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301532581746001978906,Laporan permohonan evakuasi ular pyton dari warga di Kelurahan Perbon Kecamatan Tuban
"30 Apr, 8:28",ular di kandang ayam,https://www.lapor.go.id/laporan/detil/ular-di-kandang-ayam-202504301528271746001707505,Laporan objek Ular yg berada di Atas Kadang Ayam salah satu warga di Desa Bektiharjo Kecamatan Semanding
"30 Apr, 8:25",evakuasi sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202504301525161746001516187,Laporan permohonan evakuasi Sarang Tawon Avinis Dari Anggota Satpolairud Desa Margosuko Kecamatan Bancar yang berada di atas pohon di halaman Kantor SATPOLAIRUD POLRES TUBAN dengan diameter  30 cm
"30 Apr, 8:22",magnet motor terkunci,https://www.lapor.go.id/laporan/detil/magnet-motor-terkunci-202504301522491746001369090,"Laporan dari warga Dari bojonegoro rombongan mau ziarah di Makam Sunan Bonang, setelah ziarah mampir di Indomart Jl. Pemuda. Sepeda motor diparkir dan dikunci setir, setelah dicek magnet kunci sudah hilang semua dan kontak tidak bisa dibuka. Dibuka secara mandiri berkali-kali tidak bisa, karena keterbatasan alat selanjutnya menghubungi Damkar Tuban untuk meminta bantuan membukakan kontak sepeda motor"
"30 Apr, 8:19",ular meresahkan warga,https://www.lapor.go.id/laporan/detil/ular-meresahkan-warga-202504301519351746001175304,Terdapat ular di pemukiman warga di Desa Bejagung Kecamatan Semanding
"30 Apr, 8:14",ular diatas plafon rumah,https://www.lapor.go.id/laporan/detil/ular-diatas-plafon-rumah-202504301514521746000892348,Laporan dari warga Kelurahan Sidorejo Kecamatan Tuban bahwa ada ular Phyton dengan panjang  4 m berjumlah 1 ekor yang berada  atas plafon  rumah.
"30 Apr, 8:13",ular di kandang warga,https://www.lapor.go.id/laporan/detil/ular-di-kandang-warga-202504301513011746000781477,Laporan permintaan evakuasi ular di kandang salah seorang warga Desa. Mulyorejo- Parengan.
"30 Apr, 8:05",pelepasan cincin,https://www.lapor.go.id/laporan/detil/pelepasan-cincin-202504301505161746000316244,Permohonan bantuan pelepaskan Cincin Titanium dari warga di Desa Sadang Kecamatan Jatirogo yang berada di jari tangannya.  korban bersama temannya datang langsung ke Pos Damkar karena sudah berupaya melepaskan cincin dengan minyak serta sabun namun hasilnya nihil.
"30 Apr, 8:02",ular meresahkan,https://www.lapor.go.id/laporan/detil/ular-meresahkan-202504301502231746000143805,Laporan ular dari salah satu warga di Kelurahan Latsari Kecamatan Tuban bahwa ada ular ditumpukan kayu
"30 Apr, 7:58",ular di dalam rumah,https://www.lapor.go.id/laporan/detil/ular-di-dalam-rumah-202504301458121745999892650,"Laporan dari salah satu warga di Desa Sumurjalak Kecamatan Plumpang bahwa ada ular yg berada di dalam rumahnya,"
"30 Apr, 7:52",evakuasi tawon,https://www.lapor.go.id/laporan/detil/evakuasi-tawon-202504301452341745999554399,Laporan evakuasi tawon dari salah satu warga di Kelurahan Karang Kecamatan Semanding
"30 Apr, 7:49",ular di pekarangan rumah,https://www.lapor.go.id/laporan/detil/ular-di-pekarangan-rumah-202504301449361745999376540,Laporan dari salah satu warga di Kelurahan Gedongombo Kecamatan Semanding mendapati ada ular yang akan masuk ke area dapur lewat pekarangan belakang rumah
"30 Apr, 7:47",ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202504301447311745999251722,Laporan dari salah satu warga di Desa Nguruan Kecamatan Soko terdapat ular yang masuk rumah
"30 Apr, 7:45",sarang tawon meresahkan,https://www.lapor.go.id/laporan/detil/sarang-tawon-meresahkan-202504301445071745999107372,Laporan permohonan evakuasi Sarang Tawon Avinis Dari warga di Desa Sugihan Kecamatan Jatirogo yang berada di bawah atap genteng dengan Diameter -/+60cm
"30 Apr, 7:42",ular di kandang ayam,https://www.lapor.go.id/laporan/detil/ular-di-kandang-ayam-202504301442181745998938840,Laporan permohonan evakuasi ular Cobra Dari salah satu warga di Desa Rengel Kecamatan Rengel yang berada di kandang ayam dengan Panjang  1 m.
"30 Apr, 7:40",ular di kandang ayam,https://www.lapor.go.id/laporan/detil/ular-di-kandang-ayam-202504301440061745998806966,Laporan dari warga di Desa Rengel Kecamatan Rengel terdapat ular pyton masuk ke kandang ayam warga
"30 Apr, 7:37",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202504301437571745998677995,Laporan Permohonan evakuasi sarang Tawon dari warga di Desa Tuwiri Kulon Kecamatan Merakurak
"30 Apr, 7:35",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301435511745998551853,Laporan dari warga di Kelurahan Sendangharjo Kecamatan Tuban terdapat ular diatas plafon rumah warga
"30 Apr, 7:34",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301434011745998441240,Laporan dari salah satu warga di Desa Suwalan Kecamatan Jenu terdapat ular yang meresahkan warga
"30 Apr, 7:32",ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202504301432061745998326936,Laporan dari salah satu warga di Desa Trutup Kecamatan Rengel ada ular masuk rumah pelapor
"30 Apr, 7:29",ular diatas plafon,https://www.lapor.go.id/laporan/detil/ular-diatas-plafon-202504301429561745998196096,Laporan dari salah satu warga di Desa Gadon Kecamatan Tambakboyo terdapat ular diatas plafon rumah warga
"30 Apr, 7:27",ular diatas pohon,https://www.lapor.go.id/laporan/detil/ular-diatas-pohon-202504301427571745998077435,Laporan dari salah satu warga di Kelurahan Kingking Kecamatan Tuban terdapat ular di atas pohon di pekarangan rumhanya. Dan minta untuk di evakuasi
"30 Apr, 7:26",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202504301426141745997974957,Laporan permohonan evakuasi Sarang Tawon Avinis Dari salah satu warga di Desa Wotsogo Kecamatan Jatirogo yang berada di Pohon mangga depan Mushola dengan Diameter -/+40cm
"30 Apr, 7:24",Ular pito di dapur,https://www.lapor.go.id/laporan/detil/ular-pito-di-dapur-202504301424201745997860900,Laporan dari salah satu warga di Desa Sidomulyo Kecamatan Jatirogo ada Ular Piton berukuran  sekitar  2.5 m berjumlah 1 ekor di atap dapur Ular Piton tersebut meresahkan aktifitas pemilik  rumah dan tetangga/warga setempat
"30 Apr, 7:21",Ular di pekarangan rumah,https://www.lapor.go.id/laporan/detil/ular-di-pekarangan-rumah-202504301421391745997699534,Laporan dari warga Desa Panyuran Kecamatan Palang  bahwa ada ular Phyton dengan panjang  3 m berjumlah 1 ekor yang berada  pekarangan rumah.
"30 Apr, 7:18",Ular di Mesin Cuci,https://www.lapor.go.id/laporan/detil/ular-di-mesin-cuci-202504301418471745997527554,Laporan dari warga di Kelurahan Karangsari Kecamatan Tuban ada Ular Jenis Tali Picis berukuran   m  yang berada di atas mesin cuci  di dalam rumah .
"30 Apr, 7:16",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301416361745997396826,Laporan dari warga Desa Pucangan Kecamatan Palang bahwa ada ular Phyton dengan panjang  3 m berjumlah 1 ekor yang berada bongkaran Pedel
"30 Apr, 7:13",Evakuasi Ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301413131745997193917,Laporan dari warga di Desa Sawahan Kecamatan Rengel terdapat ular yang berkeliaran dan meresahkan warga
"30 Apr, 7:10",Ular masuk Kandang Ayam,https://www.lapor.go.id/laporan/detil/ular-masuk-kandang-ayam-202504301410131745997013930,Laporan dari warga Desa Sugihan Kecamatan Jatirogo ada Ular Piton berukuran sekitar -/+ 3 m dan berjumlah 1 ekor di kandang Ayam.
"30 Apr, 4:08",ular masuk kandang kambing,https://www.lapor.go.id/laporan/detil/ular-masuk-kandang-kambing-202504301108511745986131815,Laporan bahwa ada ular yg berada di kandang kambing milik warga di Desa Jegulo Kecamatan Soko
"30 Apr, 4:06",ular cobra,https://www.lapor.go.id/laporan/detil/ular-cobra-202504301106581745986018777,Laporan dari warga di Desa Mentoso Kecamatan Jenu terdapat ular cobra yang meresahkan warga
